record_id,visit_time,gate,visitor_count,weather,ticket_type
1,2026-06-16 08:00:00,东门,1,晴,学生票
2,2026-06-16 08:00:00,南门,2,晴,团体票
3,2026-06-16 08:00:00,西门,2,晴,团体票
4,2026-06-16 08:05:00,东门,2,晴,成人票
5,2026-06-16 08:05:00,南门,2,晴,成人票
6,2026-06-16 08:05:00,西门,3,晴,成人票
7,2026-06-16 08:10:00,东门,7,晴,成人票
8,2026-06-16 08:10:00,南门,3,晴,成人票
9,2026-06-16 08:10:00,西门,2,晴,团体票
10,2026-06-16 08:15:00,东门,0,晴,学生票
11,2026-06-16 08:15:00,南门,3,晴,团体票
12,2026-06-16 08:15:00,西门,4,晴,成人票
13,2026-06-16 08:20:00,东门,6,晴,成人票
14,2026-06-16 08:20:00,南门,1,晴,学生票
15,2026-06-16 08:20:00,西门,1,晴,成人票
16,2026-06-16 08:25:00,东门,8,晴,成人票
17,2026-06-16 08:25:00,南门,2,晴,学生票
18,2026-06-16 08:25:00,西门,2,晴,成人票
19,2026-06-16 08:30:00,东门,7,晴,成人票
20,2026-06-16 08:30:00,南门,6,晴,成人票
21,2026-06-16 08:30:00,西门,1,晴,成人票
22,2026-06-16 08:35:00,东门,7,晴,成人票
23,2026-06-16 08:35:00,南门,1,晴,成人票
24,2026-06-16 08:35:00,西门,3,晴,团体票
25,2026-06-16 08:40:00,东门,3,晴,学生票
26,2026-06-16 08:40:00,南门,5,晴,成人票
27,2026-06-16 08:40:00,西门,3,晴,成人票
28,2026-06-16 08:45:00,东门,4,晴,成人票
29,2026-06-16 08:45:00,南门,4,晴,学生票
30,2026-06-16 08:45:00,西门,2,晴,成人票
31,2026-06-16 08:50:00,东门,4,晴,成人票
32,2026-06-16 08:50:00,南门,4,晴,团体票
33,2026-06-16 08:50:00,西门,1,晴,成人票
34,2026-06-16 08:55:00,东门,3,晴,学生票
35,2026-06-16 08:55:00,南门,4,晴,学生票
36,2026-06-16 08:55:00,西门,3,晴,成人票
37,2026-06-16 09:00:00,东门,3,晴,成人票
38,2026-06-16 09:00:00,南门,1,晴,成人票
39,2026-06-16 09:00:00,西门,2,晴,成人票
40,2026-06-16 09:05:00,东门,1,晴,成人票
41,2026-06-16 09:05:00,南门,8,晴,学生票
42,2026-06-16 09:05:00,西门,6,晴,成人票
43,2026-06-16 09:10:00,东门,8,晴,成人票
44,2026-06-16 09:10:00,南门,5,晴,成人票
45,2026-06-16 09:10:00,西门,1,晴,成人票
46,2026-06-16 09:15:00,东门,16,晴,学生票
47,2026-06-16 09:15:00,南门,7,晴,学生票
48,2026-06-16 09:15:00,西门,4,晴,成人票
49,2026-06-16 09:20:00,东门,9,晴,成人票
50,2026-06-16 09:20:00,南门,4,晴,成人票
51,2026-06-16 09:20:00,西门,1,晴,成人票
52,2026-06-16 09:25:00,东门,9,晴,团体票
53,2026-06-16 09:25:00,南门,9,晴,成人票
54,2026-06-16 09:25:00,西门,3,晴,成人票
55,2026-06-16 09:30:00,东门,13,晴,学生票
56,2026-06-16 09:30:00,南门,5,晴,成人票
57,2026-06-16 09:30:00,西门,1,晴,成人票
58,2026-06-16 09:35:00,东门,7,晴,团体票
59,2026-06-16 09:35:00,南门,9,晴,成人票
60,2026-06-16 09:35:00,西门,4,晴,成人票
61,2026-06-16 09:40:00,东门,3,晴,学生票
62,2026-06-16 09:40:00,南门,3,晴,成人票
63,2026-06-16 09:40:00,西门,2,晴,成人票
64,2026-06-16 09:45:00,东门,6,晴,成人票
65,2026-06-16 09:45:00,南门,7,晴,成人票
66,2026-06-16 09:45:00,西门,1,晴,成人票
67,2026-06-16 09:50:00,东门,10,晴,成人票
68,2026-06-16 09:50:00,南门,3,晴,成人票
69,2026-06-16 09:50:00,西门,1,晴,成人票
70,2026-06-16 09:55:00,东门,15,晴,成人票
71,2026-06-16 09:55:00,南门,10,晴,成人票
72,2026-06-16 09:55:00,西门,3,晴,成人票
73,2026-06-16 10:00:00,东门,51,晴,成人票
74,2026-06-16 10:00:00,南门,54,晴,成人票
75,2026-06-16 10:00:00,西门,21,晴,学生票
76,2026-06-16 10:05:00,东门,52,晴,学生票
77,2026-06-16 10:05:00,南门,50,晴,成人票
78,2026-06-16 10:05:00,西门,28,晴,成人票
79,2026-06-16 10:10:00,东门,61,晴,团体票
80,2026-06-16 10:10:00,南门,19,晴,学生票
81,2026-06-16 10:10:00,西门,18,晴,成人票
82,2026-06-16 10:15:00,东门,68,晴,学生票
83,2026-06-16 10:15:00,南门,37,晴,成人票
84,2026-06-16 10:15:00,西门,29,晴,成人票
85,2026-06-16 10:20:00,东门,58,晴,成人票
86,2026-06-16 10:20:00,南门,47,晴,学生票
87,2026-06-16 10:20:00,西门,32,晴,学生票
88,2026-06-16 10:25:00,东门,53,晴,成人票
89,2026-06-16 10:25:00,南门,30,晴,团体票
90,2026-06-16 10:25:00,西门,13,晴,成人票
91,2026-06-16 10:30:00,东门,34,晴,成人票
92,2026-06-16 10:30:00,南门,35,晴,成人票
93,2026-06-16 10:30:00,西门,33,晴,成人票
