DEV-0082,15.0,69.3,33.5,11.28,57,87,2026-05-24 10:04:45
DEV-0012,58.1,12.5,25.2,15.47,18,72,2026-06-08 05:04:45
DEV-0092,63.5,53.6,32.1,31.52,8,98,2026-06-09 21:04:45
DEV-0090,43.0,32.2,31.8,39.36,57,12,2026-05-31 11:04:45
DEV-0013,37.3,37.5,34.5,6.96,240,69,2026-06-11 09:04:45
DEV-0119,39.1,54.2,65.6,32.83,190,74,2026-06-08 12:04:45
DEV-0091,11.3,62.9,62.5,49.33,124,13,2026-05-31 11:04:45
DEV-0036,45.8,76.7,28.9,20.99,141,90,2026-05-18 13:04:45
DEV-0083,11.4,60.8,49.4,16.02,241,49,2026-06-05 04:04:45
DEV-0119,62.6,54.6,57.7,42.93,33,30,2026-06-15 08:04:45
DEV-0104,33.4,31.4,31.6,47.43,166,28,2026-05-19 17:04:45
DEV-0064,40.6,83.2,45.2,16.92,131,96,2026-05-23 18:04:45
DEV-0069,28.6,56.8,69.4,22.97,117,18,2026-05-25 23:04:45
DEV-0064,13.2,13.8,26.0,33.24,221,77,2026-06-13 23:04:45
DEV-0050,39.3,89.7,49.1,48.7,10,88,2026-06-11 19:04:45
DEV-0088,84.6,70.1,62.3,20.31,155,56,2026-06-09 23:04:45
DEV-0059,5.3,67.8,59.6,48.73,96,65,2026-06-12 04:04:45
DEV-0112,61.3,77.3,47.9,13.95,196,98,2026-06-09 19:04:45
DEV-0070,90.8,83.8,70.5,31.95,255,3,2026-06-11 22:04:45
DEV-0119,37.7,88.8,64.4,15.78,128,73,2026-06-13 08:04:45
DEV-0011,70.9,75.3,73.8,28.97,69,17,2026-05-19 13:04:45
DEV-0061,90.2,23.2,49.0,32.3,113,70,2026-05-18 06:04:45
DEV-0026,69.2,41.9,56.9,21.8,269,58,2026-06-11 13:04:45
DEV-0032,25.2,37.0,52.4,15.36,117,1,2026-06-13 16:04:45
DEV-0091,61.8,28.3,69.8,43.68,41,66,2026-06-06 13:04:45
DEV-0036,65.2,27.1,27.3,47.1,297,74,2026-05-27 12:04:45
DEV-0032,75.6,74.6,30.5,9.36,225,46,2026-05-29 15:04:45
DEV-0053,47.0,68.3,57.0,49.29,55,8,2026-05-30 12:04:45
DEV-0094,35.5,78.9,33.7,13.56,234,18,2026-05-29 16:04:45
DEV-0024,30.1,30.0,70.8,24.94,286,13,2026-06-14 13:04:45
DEV-0084,94.9,76.9,73.3,46.69,126,22,2026-05-30 08:04:45
DEV-0063,48.3,79.2,69.6,12.41,6,50,2026-06-05 09:04:45
DEV-0119,75.6,46.4,43.3,48.08,289,85,2026-05-26 22:04:45
DEV-0020,22.1,27.4,23.2,38.11,36,96,2026-06-03 07:04:45
DEV-0008,9.5,48.1,70.6,28.9,34,66,2026-06-13 06:04:45
DEV-0109,21.7,57.6,57.1,15.58,66,73,2026-06-06 04:04:45
DEV-0075,58.5,59.6,43.1,31.27,272,41,2026-06-05 13:04:45
DEV-0027,65.3,35.1,34.6,10.89,158,59,2026-06-03 05:04:45
DEV-0119,72.7,15.8,45.2,49.93,56,10,2026-05-24 18:04:45
DEV-0028,50.5,20.6,39.2,8.1,130,48,2026-06-04 13:04:45
DEV-0021,44.4,53.5,36.6,49.27,275,2,2026-05-19 05:04:45
DEV-0105,54.9,84.5,25.7,44.52,140,15,2026-06-12 03:04:45
DEV-0096,54.8,31.8,53.3,37.29,109,88,2026-05-20 15:04:45
DEV-0110,28.8,49.1,69.8,43.07,52,82,2026-05-29 15:04:45
DEV-0107,29.9,10.3,62.4,33.67,139,21,2026-05-28 20:04:45
DEV-0071,68.5,54.9,26.2,47.53,81,70,2026-06-15 04:04:45
DEV-0107,38.2,54.2,43.6,6.88,191,6,2026-06-01 10:04:45
DEV-0027,66.4,63.4,39.5,30.19,213,80,2026-06-10 02:04:45
DEV-0119,88.7,79.2,73.7,41.48,216,4,2026-06-09 01:04:45
DEV-0095,88.2,72.6,42.6,35.15,132,35,2026-06-09 21:04:45
DEV-0101,68.1,40.6,22.1,26.18,107,59,2026-06-01 18:04:45
DEV-0040,78.8,79.7,32.3,34.7,209,43,2026-06-04 19:04:45
DEV-0111,11.2,71.9,39.3,27.92,279,43,2026-06-15 12:04:45
DEV-0015,83.9,30.9,51.9,49.26,24,14,2026-05-22 06:04:45
DEV-0056,36.1,72.9,44.0,49.29,64,50,2026-05-23 02:04:45
DEV-0025,27.9,66.7,20.1,46.65,280,88,2026-05-19 02:04:45
DEV-0026,37.8,15.6,56.5,19.86,165,85,2026-06-11 09:04:45
DEV-0093,86.0,50.6,56.7,19.68,156,71,2026-06-11 06:04:45
DEV-0025,42.8,85.2,57.3,45.63,296,39,2026-05-30 09:04:45
DEV-0071,80.0,34.3,31.6,40.36,169,60,2026-05-28 20:04:45
DEV-0057,65.8,50.9,63.7,48.19,91,85,2026-06-13 02:04:45
DEV-0037,51.4,60.6,38.4,41.83,125,87,2026-06-03 11:04:45
DEV-0029,77.6,21.8,22.5,49.28,42,59,2026-05-30 00:04:45
DEV-0114,61.7,25.6,58.3,27.25,129,19,2026-05-19 17:04:45
DEV-0089,5.5,70.1,62.4,9.8,222,29,2026-06-09 04:04:45
DEV-0103,91.2,51.4,22.8,16.21,67,59,2026-06-11 00:04:45
DEV-0103,46.8,52.5,50.7,19.28,231,79,2026-05-26 04:04:45
DEV-0055,79.8,53.8,69.3,38.46,248,58,2026-06-05 15:04:45
DEV-0097,27.3,61.0,62.1,28.46,127,36,2026-05-28 22:04:45
DEV-0010,69.2,28.8,38.5,45.19,46,18,2026-06-10 06:04:45
DEV-0030,39.5,22.2,31.8,23.67,174,70,2026-05-27 19:04:45
DEV-0054,10.6,76.6,41.4,39.64,15,98,2026-05-23 03:04:45
DEV-0049,47.9,85.4,36.4,22.55,219,69,2026-05-24 09:04:45
DEV-0103,59.3,27.6,32.1,24.61,19,50,2026-06-02 08:04:45
DEV-0086,66.1,42.3,29.1,26.03,70,80,2026-05-24 22:04:45
DEV-0004,86.6,57.4,56.5,8.78,224,18,2026-05-28 00:04:45
DEV-0024,9.5,40.3,31.6,19.71,199,36,2026-05-29 17:04:45
DEV-0033,80.1,47.6,61.2,7.34,184,29,2026-05-19 23:04:45
DEV-0009,75.3,62.1,61.5,47.73,107,3,2026-05-21 04:04:45
DEV-0020,26.5,47.9,26.3,47.65,243,90,2026-06-05 18:04:45
DEV-0099,38.2,58.5,73.0,37.33,88,40,2026-06-12 02:04:45
DEV-0075,7.3,35.0,57.3,48.12,208,92,2026-06-08 05:04:45
DEV-0010,58.3,76.4,33.4,36.37,159,88,2026-05-22 02:04:45
DEV-0104,15.9,88.7,63.0,20.62,224,85,2026-05-31 21:04:45
DEV-0009,50.5,37.3,66.7,42.0,59,56,2026-06-01 06:04:45
DEV-0082,85.2,46.8,28.4,12.93,272,84,2026-06-05 04:04:45
DEV-0079,77.7,53.1,46.6,24.6,142,42,2026-06-06 05:04:45
DEV-0107,89.1,32.3,44.8,38.77,296,79,2026-05-19 04:04:45
DEV-0049,35.3,49.5,37.9,26.94,186,34,2026-06-02 04:04:45
DEV-0036,84.2,66.1,35.2,5.46,102,11,2026-06-06 09:04:45
DEV-0093,41.6,54.4,33.2,26.42,256,58,2026-06-15 23:04:45
DEV-0012,31.5,42.4,33.4,34.88,193,61,2026-05-24 02:04:45
DEV-0068,35.9,89.7,50.3,20.83,237,35,2026-06-03 15:04:45
DEV-0033,25.7,67.7,37.4,38.43,99,25,2026-06-07 11:04:45
DEV-0095,48.6,68.0,73.7,28.61,149,13,2026-06-08 10:04:45
DEV-0038,25.5,24.4,20.8,29.04,145,6,2026-06-14 09:04:45
DEV-0071,31.3,85.5,55.1,38.88,57,2,2026-05-23 05:04:45
DEV-0037,47.2,45.2,30.1,7.31,249,15,2026-06-13 22:04:45
DEV-0052,49.3,56.2,57.8,11.83,293,39,2026-06-13 01:04:45
DEV-0032,15.7,71.2,53.3,40.58,120,100,2026-05-25 09:04:45
DEV-0049,45.5,45.4,67.3,49.55,161,73,2026-05-21 05:04:45
DEV-0008,59.9,69.2,72.1,14.35,113,34,2026-05-19 12:04:45
DEV-0011,19.1,23.9,24.1,5.12,235,89,2026-05-22 08:04:45
DEV-0061,31.2,28.5,58.9,36.63,237,10,2026-05-18 09:04:45
DEV-0030,88.2,73.0,54.4,34.75,106,55,2026-06-11 19:04:45
DEV-0070,25.2,21.9,34.6,11.4,35,22,2026-06-03 14:04:45
DEV-0077,72.4,55.5,35.9,10.6,160,90,2026-05-30 12:04:45
DEV-0035,50.0,49.5,24.4,6.79,226,95,2026-06-02 22:04:45
DEV-0078,27.5,17.3,72.9,42.62,299,76,2026-06-15 19:04:45
DEV-0098,65.5,31.6,22.2,39.03,245,67,2026-05-19 21:04:45
DEV-0057,87.4,24.5,52.2,33.57,256,12,2026-05-27 15:04:45
DEV-0045,41.8,35.7,25.8,12.24,215,89,2026-05-26 13:04:45
DEV-0037,64.6,42.0,61.8,6.65,50,41,2026-06-05 22:04:45
DEV-0042,15.4,71.8,67.6,42.12,5,85,2026-05-24 13:04:45
DEV-0060,42.2,25.0,39.9,39.04,231,98,2026-06-14 12:04:45
DEV-0027,29.0,20.5,35.8,44.64,253,16,2026-06-15 11:04:45
DEV-0081,59.8,29.1,28.7,29.79,287,53,2026-06-12 17:04:45
DEV-0029,94.3,83.0,45.4,10.29,83,64,2026-06-04 06:04:45
DEV-0066,68.5,43.2,46.5,26.25,238,71,2026-06-10 12:04:45
DEV-0050,22.2,58.0,61.0,11.14,40,36,2026-05-30 00:04:45
DEV-0044,89.1,50.6,65.1,17.73,157,76,2026-05-22 23:04:45
DEV-0085,49.1,21.9,49.6,20.53,287,98,2026-05-24 12:04:45
DEV-0049,46.0,35.7,30.4,36.39,297,50,2026-06-06 17:04:45
