record_id,visit_time,gate,visitor_count,weather,ticket_type
1,2024-01-01 08:00:00,东门,2,多云,成人票
36,2024-01-01 08:55:00,西门,1,多云,学生票
72,2024-01-01 09:55:00,西门,1,多云,团体票
107,2024-01-01 10:55:00,南门,20,多云,成人票
143,2024-01-01 11:55:00,南门,23,多云,成人票
178,2024-01-01 12:55:00,东门,15,多云,成人票
214,2024-01-01 13:55:00,东门,7,多云,学生票
249,2024-01-01 14:50:00,西门,8,多云,成人票
285,2024-01-01 15:50:00,西门,18,多云,团体票
320,2024-01-01 16:50:00,南门,19,多云,学生票
356,2024-01-01 17:50:00,南门,0,多云,成人票
391,2024-01-01 18:50:00,东门,2,多云,学生票
427,2024-01-02 08:50:00,东门,4,多云,成人票
462,2024-01-02 09:45:00,西门,1,多云,成人票
498,2024-01-02 10:45:00,西门,15,多云,成人票
533,2024-01-02 11:45:00,南门,22,多云,学生票
569,2024-01-02 12:45:00,南门,10,多云,成人票
604,2024-01-02 13:45:00,东门,6,多云,成人票
640,2024-01-02 14:45:00,东门,22,多云,成人票
675,2024-01-02 15:40:00,西门,15,多云,成人票
711,2024-01-02 16:40:00,西门,13,多云,成人票
746,2024-01-02 17:40:00,南门,1,多云,成人票
782,2024-01-02 18:40:00,南门,1,多云,成人票
817,2024-01-03 08:40:00,东门,4,晴,团体票
853,2024-01-03 09:40:00,东门,2,晴,成人票
888,2024-01-03 10:35:00,西门,13,晴,学生票
924,2024-01-03 11:35:00,西门,19,晴,团体票
959,2024-01-03 12:35:00,南门,9,晴,团体票
994,2024-01-03 13:35:00,东门,7,晴,成人票
1030,2024-01-03 14:35:00,东门,39,晴,学生票
1065,2024-01-03 15:30:00,西门,15,晴,成人票
1101,2024-01-03 16:30:00,西门,19,晴,成人票
1136,2024-01-03 17:30:00,南门,2,晴,成人票
1172,2024-01-03 18:30:00,南门,2,晴,成人票
1207,2024-01-04 08:30:00,东门,3,多云,成人票
1243,2024-01-04 09:30:00,东门,4,多云,学生票
1278,2024-01-04 10:25:00,西门,14,多云,学生票
1314,2024-01-04 11:25:00,西门,20,多云,成人票
1349,2024-01-04 12:25:00,南门,16,多云,成人票
1385,2024-01-04 13:25:00,南门,2,多云,成人票
1420,2024-01-04 14:25:00,东门,23,多云,成人票
1456,2024-01-04 15:25:00,东门,22,多云,学生票
1491,2024-01-04 16:20:00,西门,16,多云,成人票
1527,2024-01-04 17:20:00,西门,3,多云,学生票
1562,2024-01-04 18:20:00,南门,2,多云,成人票
1598,2024-01-05 08:20:00,南门,0,多云,成人票
1633,2024-01-05 09:20:00,东门,5,多云,学生票
1669,2024-01-05 10:20:00,东门,14,多云,成人票
1704,2024-01-05 11:15:00,西门,15,多云,学生票
1740,2024-01-05 12:15:00,西门,10,多云,成人票
1775,2024-01-05 13:15:00,南门,6,多云,学生票
1811,2024-01-05 14:15:00,南门,25,多云,成人票
1846,2024-01-05 15:15:00,东门,32,多云,学生票
1882,2024-01-05 16:15:00,东门,19,多云,成人票
1917,2024-01-05 17:10:00,西门,1,多云,成人票
1952,2024-01-05 18:10:00,南门,2,多云,成人票
1988,2024-01-06 08:10:00,南门,0,多云,成人票
2023,2024-01-06 09:10:00,东门,5,多云,成人票
2059,2024-01-06 10:10:00,东门,45,多云,团体票
2094,2024-01-06 11:05:00,西门,22,多云,成人票
2130,2024-01-06 12:05:00,西门,8,多云,成人票
2165,2024-01-06 13:05:00,南门,4,多云,学生票
2201,2024-01-06 14:05:00,南门,31,多云,成人票
2236,2024-01-06 15:05:00,东门,40,多云,团体票
2272,2024-01-06 16:05:00,东门,24,多云,成人票
2307,2024-01-06 17:00:00,西门,3,多云,团体票
2343,2024-01-06 18:00:00,西门,0,多云,成人票
2378,2024-01-07 08:00:00,南门,1,晴,成人票
2414,2024-01-07 09:00:00,南门,2,晴,成人票
2449,2024-01-07 10:00:00,东门,48,晴,学生票
2485,2024-01-07 11:00:00,东门,64,晴,学生票
2520,2024-01-07 11:55:00,西门,16,晴,团体票
2556,2024-01-07 12:55:00,西门,13,晴,团体票
2591,2024-01-07 13:55:00,南门,2,晴,成人票
2627,2024-01-07 14:55:00,南门,31,晴,成人票
2662,2024-01-07 15:55:00,东门,47,晴,团体票
2698,2024-01-07 16:55:00,东门,43,晴,学生票
2733,2024-01-07 17:50:00,西门,1,晴,学生票
2769,2024-01-07 18:50:00,西门,1,晴,团体票
2804,2024-01-08 08:50:00,南门,1,晴,学生票
2840,2024-01-08 09:50:00,南门,3,晴,成人票
2875,2024-01-08 10:50:00,东门,21,晴,成人票
2910,2024-01-08 11:45:00,西门,22,晴,学生票
2946,2024-01-08 12:45:00,西门,13,晴,成人票
2981,2024-01-08 13:45:00,南门,5,晴,成人票
3017,2024-01-08 14:45:00,南门,25,晴,学生票
3052,2024-01-08 15:45:00,东门,59,晴,学生票
3088,2024-01-08 16:45:00,东门,39,晴,成人票
3123,2024-01-08 17:40:00,西门,2,晴,成人票
3159,2024-01-08 18:40:00,西门,1,晴,成人票
3194,2024-01-09 08:40:00,南门,1,晴,学生票
3230,2024-01-09 09:40:00,南门,4,晴,学生票
3265,2024-01-09 10:40:00,东门,21,晴,学生票
3301,2024-01-09 11:40:00,东门,23,晴,成人票
3336,2024-01-09 12:35:00,西门,16,晴,成人票
3372,2024-01-09 13:35:00,西门,1,晴,学生票
3407,2024-01-09 14:35:00,南门,16,晴,成人票
3443,2024-01-09 15:35:00,南门,31,晴,学生票
3478,2024-01-09 16:35:00,东门,51,晴,成人票
3514,2024-01-09 17:35:00,东门,3,晴,成人票
3549,2024-01-09 18:30:00,西门,1,晴,成人票
3585,2024-01-10 08:30:00,西门,1,阴,学生票
3620,2024-01-10 09:30:00,南门,1,阴,成人票
3656,2024-01-10 10:30:00,南门,9,阴,成人票
3691,2024-01-10 11:30:00,东门,16,阴,学生票
3727,2024-01-10 12:30:00,东门,14,阴,学生票
3762,2024-01-10 13:25:00,西门,0,阴,团体票
3798,2024-01-10 14:25:00,西门,6,阴,成人票
3833,2024-01-10 15:25:00,南门,22,阴,成人票
3868,2024-01-10 16:25:00,东门,29,阴,成人票
3904,2024-01-10 17:25:00,东门,3,阴,成人票
3939,2024-01-10 18:20:00,西门,0,阴,学生票
3975,2024-01-11 08:20:00,西门,1,阴,学生票
4010,2024-01-11 09:20:00,南门,0,阴,成人票
4046,2024-01-11 10:20:00,南门,19,阴,团体票
4081,2024-01-11 11:20:00,东门,25,阴,成人票
4117,2024-01-11 12:20:00,东门,13,阴,学生票
4152,2024-01-11 13:15:00,西门,2,阴,成人票
4188,2024-01-11 14:15:00,西门,9,阴,团体票
4223,2024-01-11 15:15:00,南门,30,阴,成人票
4259,2024-01-11 16:15:00,南门,20,阴,成人票
4294,2024-01-11 17:15:00,东门,3,阴,成人票
4330,2024-01-11 18:15:00,东门,1,阴,成人票
4365,2024-01-12 08:10:00,西门,1,多云,成人票
4401,2024-01-12 09:10:00,西门,3,多云,成人票
4436,2024-01-12 10:10:00,南门,11,多云,成人票
4472,2024-01-12 11:10:00,南门,21,多云,成人票
