city,date,hour,temperature,humidity,pm25,illumination
北京鹫峰国家森林公园,2026-06-02,00:00,19.0,83.4,39.0,0.0
北京鹫峰国家森林公园,2026-06-02,00:05,20.4,83.7,35.6,0.0
北京鹫峰国家森林公园,2026-06-02,00:10,20.2,84.6,39.1,0.0
北京鹫峰国家森林公园,2026-06-02,00:15,19.8,80.9,41.8,0.0
北京鹫峰国家森林公园,2026-06-02,00:20,19.0,84.2,41.5,0.0
北京鹫峰国家森林公园,2026-06-02,00:25,18.8,82.9,42.2,0.0
北京鹫峰国家森林公园,2026-06-02,00:30,18.7,84.9,35.1,0.0
北京鹫峰国家森林公园,2026-06-02,00:35,19.1,87.1,41.4,0.0
北京鹫峰国家森林公园,2026-06-02,00:40,19.3,81.9,38.3,0.0
北京鹫峰国家森林公园,2026-06-02,00:45,20.3,81.6,41.0,0.0
北京鹫峰国家森林公园,2026-06-02,00:50,19.2,87.2,36.5,0.0
北京鹫峰国家森林公园,2026-06-02,00:55,19.4,84.4,45.9,0.0
北京鹫峰国家森林公园,2026-06-02,01:00,19.5,83.2,39.2,0.0
北京鹫峰国家森林公园,2026-06-02,01:05,18.7,80.9,46.5,0.0
北京鹫峰国家森林公园,2026-06-02,01:10,19.1,86.6,37.7,0.0
北京鹫峰国家森林公园,2026-06-02,01:15,18.3,84.2,37.0,0.0
北京鹫峰国家森林公园,2026-06-02,01:20,17.7,85.1,45.7,0.0
北京鹫峰国家森林公园,2026-06-02,01:25,19.9,84.9,40.3,0.0
北京鹫峰国家森林公园,2026-06-02,01:30,19.5,85.3,44.8,0.0
北京鹫峰国家森林公园,2026-06-02,01:35,19.2,86.2,42.6,0.0
北京鹫峰国家森林公园,2026-06-02,01:40,17.5,88.0,46.4,0.0
北京鹫峰国家森林公园,2026-06-02,01:45,18.0,84.5,39.4,0.0
北京鹫峰国家森林公园,2026-06-02,01:50,19.0,85.9,42.9,0.0
北京鹫峰国家森林公园,2026-06-02,01:55,18.8,83.4,43.9,0.0
北京鹫峰国家森林公园,2026-06-02,02:00,18.5,82.0,45.5,0.0
北京鹫峰国家森林公园,2026-06-02,02:05,19.0,81.9,46.7,0.0
北京鹫峰国家森林公园,2026-06-02,02:10,17.7,83.7,42.0,0.0
北京鹫峰国家森林公园,2026-06-02,02:15,17.9,84.6,41.5,0.0
北京鹫峰国家森林公园,2026-06-02,02:20,17.6,83.6,41.0,0.0
北京鹫峰国家森林公园,2026-06-02,02:25,18.5,85.3,44.3,0.0
北京鹫峰国家森林公园,2026-06-02,02:30,17.9,86.1,45.5,0.0
北京鹫峰国家森林公园,2026-06-02,02:35,18.2,86.7,39.6,0.0
北京鹫峰国家森林公园,2026-06-02,02:40,17.5,86.1,43.5,0.0
北京鹫峰国家森林公园,2026-06-02,02:45,18.8,83.0,41.9,0.0
北京鹫峰国家森林公园,2026-06-02,02:50,18.5,83.3,48.7,0.0
北京鹫峰国家森林公园,2026-06-02,02:55,17.5,84.8,39.1,0.0
北京鹫峰国家森林公园,2026-06-02,03:00,18.0,85.8,49.4,0.0
北京鹫峰国家森林公园,2026-06-02,03:05,18.1,82.8,39.8,0.0
北京鹫峰国家森林公园,2026-06-02,03:10,18.9,88.2,48.4,0.0
北京鹫峰国家森林公园,2026-06-02,03:15,18.0,85.6,40.6,0.0
北京鹫峰国家森林公园,2026-06-02,03:20,18.1,88.7,41.2,0.0
北京鹫峰国家森林公园,2026-06-02,03:25,17.6,87.4,49.4,0.0
北京鹫峰国家森林公园,2026-06-02,03:30,17.1,89.1,49.3,0.0
北京鹫峰国家森林公园,2026-06-02,03:35,17.2,85.4,44.3,0.0
北京鹫峰国家森林公园,2026-06-02,03:40,17.3,85.8,43.9,0.0
北京鹫峰国家森林公园,2026-06-02,03:45,18.0,89.7,46.3,0.0
北京鹫峰国家森林公园,2026-06-02,03:50,18.2,83.0,50.3,0.0
北京鹫峰国家森林公园,2026-06-02,03:55,17.1,84.6,43.3,0.0
北京鹫峰国家森林公园,2026-06-02,04:00,16.8,89.6,45.1,0.0
北京鹫峰国家森林公园,2026-06-02,04:05,17.0,85.0,42.3,0.0
北京鹫峰国家森林公园,2026-06-02,04:10,18.4,87.5,44.4,0.0
北京鹫峰国家森林公园,2026-06-02,04:15,17.3,84.7,41.7,0.0
北京鹫峰国家森林公园,2026-06-02,04:20,18.6,88.9,49.5,0.0
北京鹫峰国家森林公园,2026-06-02,04:25,17.2,85.4,41.4,0.0
北京鹫峰国家森林公园,2026-06-02,04:30,18.8,89.0,50.3,0.0
北京鹫峰国家森林公园,2026-06-02,04:35,17.5,83.9,48.0,0.0
北京鹫峰国家森林公园,2026-06-02,04:40,18.0,86.0,45.8,0.0
北京鹫峰国家森林公园,2026-06-02,04:45,17.8,86.4,45.0,0.0
北京鹫峰国家森林公园,2026-06-02,04:50,18.6,87.2,42.6,0.0
北京鹫峰国家森林公园,2026-06-02,04:55,17.8,87.9,50.2,0.0
北京鹫峰国家森林公园,2026-06-02,05:00,18.6,86.9,43.6,0.0
北京鹫峰国家森林公园,2026-06-02,05:05,18.2,84.2,49.8,0.0
北京鹫峰国家森林公园,2026-06-02,05:10,18.3,90.7,50.7,0.0
北京鹫峰国家森林公园,2026-06-02,05:15,17.5,84.3,49.6,114.6
北京鹫峰国家森林公园,2026-06-02,05:20,18.5,88.8,48.9,440.1
北京鹫峰国家森林公园,2026-06-02,05:25,19.7,85.6,48.7,980.7
北京鹫峰国家森林公园,2026-06-02,05:30,19.2,86.3,47.2,1669.7
北京鹫峰国家森林公园,2026-06-02,05:35,20.0,86.7,46.3,2591.1
北京鹫峰国家森林公园,2026-06-02,05:40,18.7,86.0,45.7,3013.6
北京鹫峰国家森林公园,2026-06-02,05:45,20.6,81.0,43.6,3946.6
北京鹫峰国家森林公园,2026-06-02,05:50,19.7,84.7,51.5,4492.1
北京鹫峰国家森林公园,2026-06-02,05:55,21.6,81.3,51.5,5969.8
北京鹫峰国家森林公园,2026-06-02,06:00,21.4,82.2,41.3,6329.6
北京鹫峰国家森林公园,2026-06-02,06:05,20.0,84.8,44.8,6925.5
北京鹫峰国家森林公园,2026-06-02,06:10,22.2,81.1,45.7,9821.2
北京鹫峰国家森林公园,2026-06-02,06:15,20.3,77.1,49.1,9777.3
北京鹫峰国家森林公园,2026-06-02,06:20,22.6,77.5,46.1,10871.7
北京鹫峰国家森林公园,2026-06-02,06:25,21.3,78.2,50.9,12157.3
北京鹫峰国家森林公园,2026-06-02,06:30,21.2,79.8,47.1,12630.3
北京鹫峰国家森林公园,2026-06-02,06:35,22.4,75.3,43.3,13828.4
北京鹫峰国家森林公园,2026-06-02,06:40,22.9,78.7,51.4,16496.3
北京鹫峰国家森林公园,2026-06-02,06:45,23.4,80.2,43.0,18753.8
北京鹫峰国家森林公园,2026-06-02,06:50,22.6,73.3,41.8,19620.8
北京鹫峰国家森林公园,2026-06-02,06:55,22.6,77.6,49.0,19044.7
北京鹫峰国家森林公园,2026-06-02,07:00,23.2,74.3,56.6,23048.9
北京鹫峰国家森林公园,2026-06-02,07:05,23.9,78.2,47.9,19746.9
北京鹫峰国家森林公园,2026-06-02,07:10,23.4,72.6,57.7,24102.0
北京鹫峰国家森林公园,2026-06-02,07:15,23.9,75.1,53.9,23975.4
北京鹫峰国家森林公园,2026-06-02,07:20,24.4,70.9,50.3,28432.5
北京鹫峰国家森林公园,2026-06-02,07:25,25.3,72.6,56.6,28816.2
北京鹫峰国家森林公园,2026-06-02,07:30,25.3,70.0,52.4,28050.6
北京鹫峰国家森林公园,2026-06-02,07:35,25.2,74.8,54.4,33411.0
北京鹫峰国家森林公园,2026-06-02,07:40,25.8,72.5,53.6,36053.0
北京鹫峰国家森林公园,2026-06-02,07:45,25.0,68.9,48.3,36674.8
北京鹫峰国家森林公园,2026-06-02,07:50,24.4,73.7,47.8,31558.7
北京鹫峰国家森林公园,2026-06-02,07:55,26.2,70.4,52.2,39487.0
北京鹫峰国家森林公园,2026-06-02,08:00,25.5,71.1,45.5,37619.3
北京鹫峰国家森林公园,2026-06-02,08:05,26.4,67.3,49.1,37582.9
北京鹫峰国家森林公园,2026-06-02,08:10,26.1,71.8,54.1,42082.8
北京鹫峰国家森林公园,2026-06-02,08:15,27.2,69.0,52.8,42693.9
北京鹫峰国家森林公园,2026-06-02,08:20,27.6,71.3,54.8,43626.2
北京鹫峰国家森林公园,2026-06-02,08:25,26.3,70.5,55.9,40369.2
北京鹫峰国家森林公园,2026-06-02,08:30,27.1,67.5,49.7,48894.4
北京鹫峰国家森林公园,2026-06-02,08:35,26.8,64.8,50.9,46120.9
北京鹫峰国家森林公园,2026-06-02,08:40,27.6,66.4,50.3,51182.9
北京鹫峰国家森林公园,2026-06-02,08:45,27.6,65.7,55.0,49943.0
北京鹫峰国家森林公园,2026-06-02,08:50,26.7,62.1,53.4,56314.2
北京鹫峰国家森林公园,2026-06-02,08:55,28.1,64.3,53.1,51102.1
北京鹫峰国家森林公园,2026-06-02,09:00,28.7,62.9,55.6,61020.9
北京鹫峰国家森林公园,2026-06-02,09:05,28.2,66.3,42.1,61145.4
北京鹫峰国家森林公园,2026-06-02,09:10,28.5,67.1,45.6,55003.4
北京鹫峰国家森林公园,2026-06-02,09:15,28.3,66.0,50.3,56012.8
北京鹫峰国家森林公园,2026-06-02,09:20,28.7,65.1,51.2,59970.7
北京鹫峰国家森林公园,2026-06-02,09:25,27.0,65.6,41.9,53118.4
北京鹫峰国家森林公园,2026-06-02,09:30,29.3,64.8,48.0,59355.2
北京鹫峰国家森林公园,2026-06-02,09:35,27.9,59.2,50.8,70376.0
北京鹫峰国家森林公园,2026-06-02,09:40,27.4,60.7,50.4,63851.9
北京鹫峰国家森林公园,2026-06-02,09:45,27.5,60.1,43.3,60661.2
北京鹫峰国家森林公园,2026-06-02,09:50,28.3,58.0,43.2,73191.0
北京鹫峰国家森林公园,2026-06-02,09:55,28.7,57.4,45.9,73678.9
北京鹫峰国家森林公园,2026-06-02,10:00,28.1,59.5,48.3,75554.6
北京鹫峰国家森林公园,2026-06-02,10:05,28.5,61.4,41.1,74845.8
北京鹫峰国家森林公园,2026-06-02,10:10,29.3,57.0,49.4,66027.2
北京鹫峰国家森林公园,2026-06-02,10:15,29.7,59.5,45.7,64391.1
北京鹫峰国家森林公园,2026-06-02,10:20,28.5,60.5,43.1,67914.1
北京鹫峰国家森林公园,2026-06-02,10:25,28.4,60.6,48.5,76934.6
北京鹫峰国家森林公园,2026-06-02,10:30,30.2,58.7,48.0,82376.3
北京鹫峰国家森林公园,2026-06-02,10:35,28.7,57.6,45.0,77486.4
北京鹫峰国家森林公园,2026-06-02,10:40,30.1,58.5,42.7,82656.4
北京鹫峰国家森林公园,2026-06-02,10:45,30.2,56.9,43.7,72211.4
北京鹫峰国家森林公园,2026-06-02,10:50,29.8,57.9,40.4,71525.5
北京鹫峰国家森林公园,2026-06-02,10:55,28.8,60.9,45.3,75813.3
北京鹫峰国家森林公园,2026-06-02,11:00,29.7,58.8,44.8,73910.1
北京鹫峰国家森林公园,2026-06-02,11:05,30.0,56.1,44.4,77163.2
北京鹫峰国家森林公园,2026-06-02,11:10,28.5,53.9,41.5,86550.7
北京鹫峰国家森林公园,2026-06-02,11:15,30.5,57.8,48.0,89353.1
北京鹫峰国家森林公园,2026-06-02,11:20,29.6,58.7,46.9,90443.9
北京鹫峰国家森林公园,2026-06-02,11:25,28.5,55.0,43.6,88141.5
北京鹫峰国家森林公园,2026-06-02,11:30,29.1,58.8,48.8,73673.9
北京鹫峰国家森林公园,2026-06-02,11:35,30.6,54.0,43.1,83485.1
北京鹫峰国家森林公园,2026-06-02,11:40,30.6,54.2,38.0,77025.6
北京鹫峰国家森林公园,2026-06-02,11:45,29.4,58.3,44.1,86883.1
北京鹫峰国家森林公园,2026-06-02,11:50,29.9,54.6,45.5,86844.1
北京鹫峰国家森林公园,2026-06-02,11:55,29.1,54.2,45.8,92750.1
北京鹫峰国家森林公园,2026-06-02,12:00,29.3,57.6,42.6,87180.8
北京鹫峰国家森林公园,2026-06-02,12:05,30.1,58.6,37.2,86668.3
北京鹫峰国家森林公园,2026-06-02,12:10,29.3,56.7,38.4,78943.8
北京鹫峰国家森林公园,2026-06-02,12:15,30.5,56.2,47.3,82287.1
北京鹫峰国家森林公园,2026-06-02,12:20,29.5,55.9,41.4,81668.2
北京鹫峰国家森林公园,2026-06-02,12:25,29.4,52.5,38.4,75032.2
北京鹫峰国家森林公园,2026-06-02,12:30,29.0,54.0,38.1,92391.9
北京鹫峰国家森林公园,2026-06-02,12:35,29.7,58.0,41.7,82150.8
北京鹫峰国家森林公园,2026-06-02,12:40,31.0,57.3,42.5,89592.6
北京鹫峰国家森林公园,2026-06-02,12:45,30.9,58.8,43.2,78948.5
北京鹫峰国家森林公园,2026-06-02,12:50,30.8,56.1,38.6,82835.1
北京鹫峰国家森林公园,2026-06-02,12:55,30.4,57.2,36.3,75618.0
北京鹫峰国家森林公园,2026-06-02,13:00,30.3,54.9,37.8,88981.0
北京鹫峰国家森林公园,2026-06-02,13:05,30.8,53.1,37.7,78034.8
北京鹫峰国家森林公园,2026-06-02,13:10,29.1,58.5,38.8,76731.5
北京鹫峰国家森林公园,2026-06-02,13:15,29.5,57.7,46.1,73846.6
北京鹫峰国家森林公园,2026-06-02,13:20,28.8,57.7,36.8,74762.3
北京鹫峰国家森林公园,2026-06-02,13:25,30.1,53.2,38.0,78372.4
北京鹫峰国家森林公园,2026-06-02,13:30,29.2,56.2,41.2,78452.5
北京鹫峰国家森林公园,2026-06-02,13:35,30.2,60.3,37.3,74840.5
北京鹫峰国家森林公园,2026-06-02,13:40,29.8,57.1,35.2,86729.8
北京鹫峰国家森林公园,2026-06-02,13:45,29.1,58.9,42.7,72511.7
北京鹫峰国家森林公园,2026-06-02,13:50,29.2,59.5,38.1,77178.1
北京鹫峰国家森林公园,2026-06-02,13:55,29.4,57.1,38.0,74321.1
北京鹫峰国家森林公园,2026-06-02,14:00,30.5,58.3,41.0,73532.2
北京鹫峰国家森林公园,2026-06-02,14:05,28.1,57.1,38.6,67343.4
北京鹫峰国家森林公园,2026-06-02,14:10,29.3,56.7,40.6,73465.3
北京鹫峰国家森林公园,2026-06-02,14:15,28.9,56.9,41.2,75279.3
北京鹫峰国家森林公园,2026-06-02,14:20,28.5,59.2,39.3,75823.5
北京鹫峰国家森林公园,2026-06-02,14:25,29.6,58.5,38.4,78104.7
北京鹫峰国家森林公园,2026-06-02,14:30,29.1,61.5,35.3,65245.2
北京鹫峰国家森林公园,2026-06-02,14:35,27.9,55.6,43.8,65838.0
北京鹫峰国家森林公园,2026-06-02,14:40,28.8,60.2,43.7,74910.7
北京鹫峰国家森林公园,2026-06-02,14:45,28.6,56.7,33.3,63665.3
北京鹫峰国家森林公园,2026-06-02,14:50,28.4,58.8,40.9,61185.4
北京鹫峰国家森林公园,2026-06-02,14:55,28.0,60.9,36.2,73972.1
北京鹫峰国家森林公园,2026-06-02,15:00,28.4,59.5,39.4,66681.0
北京鹫峰国家森林公园,2026-06-02,15:05,27.9,57.9,35.2,64680.3
北京鹫峰国家森林公园,2026-06-02,15:10,27.7,59.6,33.8,56243.1
北京鹫峰国家森林公园,2026-06-02,15:15,28.9,64.4,39.1,57358.8
北京鹫峰国家森林公园,2026-06-02,15:20,27.9,60.4,35.2,57578.0
北京鹫峰国家森林公园,2026-06-02,15:25,29.1,61.8,37.5,59573.4
北京鹫峰国家森林公园,2026-06-02,15:30,28.5,61.2,42.9,52181.6
北京鹫峰国家森林公园,2026-06-02,15:35,27.0,64.0,34.3,61524.3
北京鹫峰国家森林公园,2026-06-02,15:40,27.9,62.6,39.9,59653.0
北京鹫峰国家森林公园,2026-06-02,15:45,27.0,63.8,39.7,52546.9
北京鹫峰国家森林公园,2026-06-02,15:50,27.1,61.5,41.6,48095.1
北京鹫峰国家森林公园,2026-06-02,15:55,28.0,64.4,31.7,47154.4
北京鹫峰国家森林公园,2026-06-02,16:00,26.9,65.5,39.3,49086.3
北京鹫峰国家森林公园,2026-06-02,16:05,27.1,66.2,36.5,50424.6
北京鹫峰国家森林公园,2026-06-02,16:10,26.6,65.1,34.8,42422.2
北京鹫峰国家森林公园,2026-06-02,16:15,27.4,64.2,38.3,52582.5
北京鹫峰国家森林公园,2026-06-02,16:20,27.1,66.8,35.0,49823.9
北京鹫峰国家森林公园,2026-06-02,16:25,25.3,65.5,42.0,49692.2
北京鹫峰国家森林公园,2026-06-02,16:30,25.6,69.4,39.6,43507.3
北京鹫峰国家森林公园,2026-06-02,16:35,25.4,69.1,39.5,39688.9
北京鹫峰国家森林公园,2026-06-02,16:40,26.8,68.1,32.5,42579.9
北京鹫峰国家森林公园,2026-06-02,16:45,26.2,69.2,35.7,38772.2
北京鹫峰国家森林公园,2026-06-02,16:50,24.7,67.9,36.6,34757.2
北京鹫峰国家森林公园,2026-06-02,16:55,25.9,65.7,39.1,35976.1
北京鹫峰国家森林公园,2026-06-02,17:00,25.9,65.4,37.4,34210.3
北京鹫峰国家森林公园,2026-06-02,17:05,25.9,69.7,37.5,30207.4
北京鹫峰国家森林公园,2026-06-02,17:10,24.3,70.5,35.1,32321.5
北京鹫峰国家森林公园,2026-06-02,17:15,24.0,70.6,33.0,31946.5
北京鹫峰国家森林公园,2026-06-02,17:20,23.9,67.6,40.1,30545.8
北京鹫峰国家森林公园,2026-06-02,17:25,23.7,73.3,36.5,25927.1
